participant_id,age,gender,device_type,experience_level,task_success,completion_time_s,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,ueq_attractiveness,ueq_efficiency,ueq_perspicuity,nasa_tlx_mental,nasa_tlx_temporal,nasa_tlx_frustration,trust_score,ease_of_use,willingness_to_reuse,attention_check_passed,sus_score
P0002,23.0,F,Android,Intermediate,1.0,164.0930726807906,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,6.0,5.0,7.445770454591829,7.20574601628557,3.950067875759795,5.907877601893576,6.48825973313746,4.5765290752704075,1.0,40.0
P0003,36.0,M,Desktop,Intermediate,1.0,39.92364010346109,3.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,1.0,4.0,6.0,5.0,7.0,13.4218649317706,9.567593150172158,3.950067875759795,6.707820849237694,5.860594121351487,5.743488972588786,1.0,42.5
P0004,21.0,F,iOS,Intermediate,0.0,8.817077054996911,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,3.0,6.0,21.0,12.944852346738346,8.585566320059883,2.0374054744970533,5.475658789060619,5.293785291723754,1.0,52.5
P0005,29.0,M,iOS,Beginner,1.0,173.85776149055346,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,7.0,5.0,7.0,10.455472259444177,7.975377039333274,3.950067875759795,5.907877601893576,6.209295359122695,5.7562586572741195,1.0,60.0
P0006,38.0,F,iOS,Intermediate,1.0,16.68674000362888,3.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,6.0,9.822850764203553,6.225443326933882,3.950067875759795,6.112530205186131,5.234915881007903,4.849899038823811,1.0,62.5
P0007,29.0,F,iOS,Intermediate,1.0,66.69156581636491,4.0,5.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,4.0,7.0,5.0,6.0,5.348097053333492,7.855918575559402,1.204274954244699,5.7196347968559085,5.96336099108998,4.1856761414776,1.0,52.5
P0008,37.0,M,Android,Unknown,1.0,168.95007367726836,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,21.0,10.725330396113682,3.950067875759795,5.907877601893576,5.702839420361624,6.1086602753550565,1.0,42.5
P0010,30.0,F,Desktop,Advanced,1.0,91.22578412685222,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,5.0,7.642542445393354,7.543462239094375,9.841490588455686,6.646515033106784,6.975025867453347,4.256481895683968,1.0,47.5
P0011,40.0,M,iOS,Advanced,1.0,219.77071261885828,3.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,4.696090670053254,11.854495353553997,3.950067875759795,6.930290597578983,6.051718756936976,4.828523246043945,1.0,35.0
P0012,42.0,F,Desktop,Beginner,1.0,122.62894443759176,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,21.0,9.81993447646094,14.859893485943095,6.470004453979761,5.12680428934165,5.26238335732923,1.0,45.0
